Experiment, Number of Nodes, SCIP best, SCIP worst, QBSolv classic, QBsolv Quantum, SCIP best time, SCIP worst time, QB classic time, QB quantum time
1,5,18.0,55.0,18,18,0.11548376083374023,0.15107154846191406,3.4499289989471436,53.4731240272522
2,10,30.0,133.0,30,31,2.247492790222168,11.178544044494629,4.5884435176849365,212.3875207901001
